iter	Passed	Remaining
589	352725	245114
590	353292	244494
591	353920	243917
592	354441	243267
593	354999	242643
594	355594	242043
595	356162	241425
596	356543	240681
597	357125	240074
598	357696	239459
599	358313	238875
600	358896	238269
601	359467	237654
602	359865	236926
603	360365	236266
604	360975	235678
605	361550	235067
606	362154	234475
607	362726	233863
608	363190	233181
609	363788	232586
610	364410	232006
611	364967	231384
612	365591	230805
613	366200	230217
614	366814	229631
615	367330	228985
616	367939	228397
617	368534	227799
618	369128	227201
619	369601	226530
620	370119	225886
621	370677	225267
622	371244	224653
623	371844	224060
624	372405	223443
625	373009	222852
626	373657	222287
627	374224	221674
628	374791	221061
629	375400	220473
630	375976	219865
631	376353	219142
632	376909	218524
633	377517	217935
634	377991	217270
635	378602	216684
636	379196	216088
637	379785	215489
638	380351	214877
639	380903	214258
640	381447	213634
641	382065	213052
642	382653	212453
643	383290	211880
644	383897	211292
645	384370	210630
646	384997	210052
647	385508	209412
648	386146	208840
649	386707	208227
650	387267	207613
651	387828	207000
652	388309	206345
653	388918	205758
654	389501	205157
655	390038	204532
656	390601	203921
657	391091	203272
658	391680	202675
659	392266	202076
660	392912	201508
661	393495	200908
662	394163	200351
663	394805	199781
664	395376	199174
665	395973	198581
666	396581	197993
667	397155	197388
668	397738	196788
669	398339	196197
670	398899	195585
671	399479	194984
672	400086	194395
673	400661	193791
674	401244	193191
675	401837	192596
676	402475	192023
677	403030	191409
678	403545	190777
679	404127	190177
680	404699	189572
681	405306	188984
682	405903	188391
683	406491	187794
684	407080	187197
685	407723	186625
686	408293	186020
687	408975	185465
688	409558	184865
689	410115	184254
690	410713	183662
691	411326	183075
692	411962	182500
693	412505	181882
694	413045	181264
695	413618	180661
696	414184	180054
697	414832	179483
698	415458	178902
699	416043	178304
700	416595	177692
701	417219	177110
702	417773	176499
703	418401	175918
704	418907	175287
705	419489	174688
706	420061	174084
707	420619	173475
708	421171	172864
709	421755	172266
710	422336	171667
711	422909	171064
712	423542	170486
713	424113	169883
714	424677	169277
715	425308	168697
716	425901	168103
717	426534	167524
718	427146	166937
719	427718	166334
720	428230	165709
721	428826	165115
722	429327	164486
723	429970	163911
724	430576	163322
725	431164	162726
726	431758	162132
727	432362	161542
728	432967	160952
729	433561	160358
730	434129	159754
731	434752	159171
732	435310	158564
733	435939	157983
734	436491	157374
735	437109	156789
736	437663	156181
737	438270	155591
738	438747	154956
739	439366	154371
740	439961	153778
741	440563	153187
742	441150	152591
743	441735	151994
744	442310	151394
745	442892	150797
746	443481	150201
747	444073	149607
748	444700	149025
749	445292	148430
750	445815	147813
751	446380	147210
752	446955	146610
753	447522	146008
754	448077	145402
755	448699	144818
756	449268	144216
757	449828	143612
758	450392	143009
759	450970	142411
760	451550	141814
761	452132	141217
762	452718	140621
763	453218	139999
764	453783	139397
765	454366	138801
766	454959	138208
767	455538	137610
768	456072	136999
769	456587	136383
770	457160	135784
771	457653	135161
772	458223	134562
773	458776	133957
774	459345	133358
775	459898	132754
776	460473	132156
777	461064	131563
778	461597	130953
779	462120	130341
780	462717	129750
781	463321	129161
782	463818	128542
783	464370	127938
784	465000	127356
785	465598	126765
786	466083	126144
787	466699	125558
788	467263	124958
789	467878	124372
790	468445	123773
791	469015	123175
792	469618	122586
793	470300	122017
794	470910	121429
795	471474	120830
796	472059	120236
797	472620	119635
798	473214	119043
799	473860	118465
800	474387	117856
801	475021	117274
802	475580	116674
803	476161	116079
804	476782	115493
805	477235	114867
806	477790	114267
807	478371	113672
808	478953	113078
809	479543	112485
810	480143	111895
811	480719	111299
812	481114	110662
813	481670	110062
814	482173	109450
815	482662	108835
816	483130	108216
817	483739	107629
818	484323	107036
819	484895	106440
820	485548	105862
821	486100	105262
822	486639	104660
823	487175	104056
824	487808	103474
825	488375	102878
826	488990	102291
827	489537	101691
828	490125	101099
829	490753	100515
830	491383	99932
831	491921	99330
832	492516	98739
833	492988	98124
834	493558	97529
835	494158	96940
836	494740	96347
837	495310	95752
838	495853	95151
839	496474	94566
840	497066	93975
841	497556	93365
842	498203	92785
843	498605	92159
844	499079	91547
845	499681	90958
846	500253	90364
847	500820	89769
848	501390	89175
849	501943	88578
850	502425	87968
851	503001	87375
852	503567	86781
853	504119	86184
854	504727	85597
855	505297	85003
856	505876	84411
857	506377	83806
858	506951	83213
859	507436	82605
860	508011	82013
861	508654	81431
862	509302	80851
863	509918	80264
864	510522	79676
865	511074	79080
866	511667	78491
867	512247	77899
868	512818	77306
869	513379	76711
870	513953	76119
871	514579	75534
872	515170	74944
873	515738	74351
874	516305	73757
875	516873	73164
876	517452	72573
877	518023	71980
878	518513	71376
879	519093	70785
880	519454	70164
881	520051	69575
882	520607	68981
883	521170	68388
884	521774	67801
885	522318	67205
886	522887	66613
887	523516	66029
888	524084	65436
889	524728	64854
890	525358	64269
891	526000	63686
892	526576	63094
893	527152	62503
894	527754	61915
895	528343	61325
896	528927	60735
897	529525	60146
898	530088	59553
899	530747	58971
900	531306	58378
901	531764	57774
902	532320	57181
903	532896	56590
904	533492	56002
905	534071	55411
906	534719	54827
907	535324	54239
908	535926	53651
909	536496	53060
910	537087	52470
911	537656	51879
912	538231	51288
913	538743	50691
914	539211	50090
915	539797	49501
916	540398	48912
917	540999	48324
918	541562	47732
919	542164	47144
920	542760	46556
921	543244	45957
922	543792	45365
923	544388	44776
924	544905	44181
925	545519	43594
926	546087	43003
927	546668	42413
928	547295	41827
929	547912	41240
930	548462	40648
931	549089	40062
932	549626	39469
933	550192	38878
934	550771	38288
935	551358	37699
936	551836	37103
937	552411	36513
938	552985	35923
939	553645	35339
940	554227	34749
941	554773	34158
942	555370	33569
943	555994	32982
944	556596	32394
945	557172	31804
946	557763	31215
947	558191	30618
948	558748	30027
949	559346	29439
950	559940	28850
951	560550	28263
952	561153	27674
953	561751	27086
954	562307	26496
955	562876	25906
956	563479	25318
957	564047	24728
958	564633	24139
959	565299	23554
960	565856	22964
961	566473	22376
962	567020	21785
963	567613	21197
964	568118	20605
965	568706	20016
966	569275	19427
967	569847	18837
968	570464	18250
969	571029	17660
970	571580	17070
971	572112	16480
972	572656	15890
973	573279	15303
974	573881	14714
975	574398	14124
976	575020	13536
977	575617	12948
978	576188	12359
979	576847	11772
980	577317	11181
981	577862	10592
982	578418	10003
983	578990	9414
984	579574	8826
985	580132	8237
986	580660	7648
987	581242	7059
988	581822	6471
989	582198	5880
990	582819	5293
991	583437	4705
992	584028	4117
993	584589	3528
994	585142	2940
995	585734	2352
996	586204	1763
997	586748	1175
998	587331	587
999	587916	0
