iter	Logloss
368	0.1160517632
369	0.1160400546
370	0.1160297482
371	0.1160202196
372	0.1160139355
373	0.1160056863
374	0.1160008555
375	0.1159916135
376	0.1159799561
377	0.1159702944
378	0.1159660368
379	0.115950613
380	0.1159394162
381	0.1159320983
382	0.1159189569
383	0.1159080671
384	0.115898733
385	0.1158917017
386	0.1158841893
387	0.1158788877
388	0.1158670359
389	0.1158591142
390	0.1158522671
391	0.1158409986
392	0.1158361576
393	0.1158279595
394	0.1158171312
395	0.1158088922
396	0.1157994352
397	0.1157877676
398	0.1157729579
399	0.1157665816
400	0.1157557021
401	0.1157469513
402	0.1157424685
403	0.1157327455
404	0.1157245781
405	0.1157208015
406	0.1157119996
407	0.1157064728
408	0.1156995234
409	0.1156927071
410	0.1156840382
411	0.1156763724
412	0.1156691466
413	0.1156655747
414	0.1156574278
415	0.1156509799
416	0.115642045
417	0.1156346964
418	0.1156289752
419	0.1156178193
420	0.1156104298
421	0.1156013004
422	0.1155972065
423	0.1155900012
424	0.1155804829
425	0.1155745569
426	0.1155661235
427	0.1155543842
428	0.1155445998
429	0.1155369544
430	0.1155255119
431	0.1155177847
432	0.115507294
433	0.1155014295
434	0.1154902941
435	0.1154802435
436	0.115473417
437	0.1154706945
438	0.1154637246
439	0.1154573177
440	0.1154520877
441	0.1154448824
442	0.1154375339
443	0.1154308813
444	0.1154203599
445	0.1154153244
446	0.115407546
447	0.1154010264
448	0.1153974443
449	0.1153918151
450	0.1153847839
451	0.115379646
452	0.1153691758
453	0.1153615816
454	0.1153576413
455	0.1153498833
456	0.1153457792
457	0.1153397304
458	0.1153320646
459	0.1153201104
460	0.1153177052
461	0.1153131098
462	0.1153048913
463	0.1153022507
464	0.1152920262
465	0.1152867246
466	0.1152767047
467	0.1152693255
468	0.1152614037
469	0.1152545567
470	0.1152459697
471	0.1152390203
472	0.1152312828
473	0.1152268307
474	0.1152221329
475	0.1152120312
476	0.1152087254
477	0.1152033931
478	0.1151932709
479	0.1151855641
480	0.1151819205
481	0.1151730061
482	0.1151666093
483	0.1151613077
484	0.1151554944
485	0.1151469176
486	0.1151440417
487	0.1151360074
488	0.1151329369
489	0.1151263867
490	0.1151220676
491	0.1151171038
492	0.115112406
493	0.1151011989
494	0.1150958666
495	0.1150915475
496	0.1150854886
497	0.1150802893
498	0.11507727
499	0.1150685091
500	0.1150632996
501	0.1150574862
502	0.1150506801
503	0.1150463815
504	0.1150389818
505	0.1150336699
506	0.1150274984
507	0.1150208458
508	0.11501449
509	0.1150078783
510	0.1150012667
511	0.1149942661
512	0.1149877056
513	0.1149759561
514	0.1149701734
515	0.1149633468
516	0.1149595907
517	0.1149561109
518	0.1149533884
519	0.1149481584
520	0.1149444432
521	0.1149422325
522	0.1149386196
523	0.1149326323
524	0.1149282314
525	0.1149218244
526	0.11491422
527	0.1149091845
528	0.114905633
529	0.1148985505
530	0.1148956131
531	0.1148883874
532	0.1148847131
533	0.1148801791
534	0.1148778251
535	0.1148748468
536	0.1148709576
537	0.1148675392
538	0.1148610606
539	0.1148547048
540	0.1148523917
541	0.1148476735
542	0.1148451967
543	0.1148380835
544	0.1148344297
545	0.1148296091
546	0.1148252287
547	0.1148205002
548	0.1148149427
549	0.1148068265
550	0.114798608
551	0.1147940843
552	0.1147892023
553	0.1147812499
554	0.1147759585
555	0.1147718134
556	0.1147679856
557	0.1147627863
558	0.1147568809
559	0.1147474342
560	0.1147436269
561	0.114736831
562	0.1147321025
563	0.1147262277
564	0.1147227172
565	0.1147188382
566	0.1147146113
567	0.114713291
568	0.114705052
569	0.1146992182
570	0.1146942441
571	0.1146883796
572	0.1146844187
573	0.114681031
574	0.1146767529
575	0.1146721882
576	0.1146659859
577	0.1146607764
578	0.1146545127
579	0.1146460793
580	0.1146442575
581	0.1146408084
582	0.1146354249
583	0.1146324773
584	0.1146283834
585	0.1146254051
586	0.1146227542
587	0.1146191004
588	0.1146152419
589	0.1146118542
590	0.1146084153
591	0.1146047411
592	0.1146018139
593	0.1145993269
594	0.1145956014
595	0.1145910469
596	0.1145876797
597	0.114579891
598	0.1145776906
599	0.1145766364
600	0.1145744461
601	0.11456982
602	0.1145647948
603	0.1145615094
604	0.1145550308
605	0.1145515919
606	0.114547672
607	0.1145438749
608	0.1145413367
609	0.1145361374
610	0.11452884
611	0.1145257491
612	0.1145207443
613	0.1145182368
614	0.1145138154
615	0.1145098955
616	0.1145029768
617	0.1144988931
618	0.114494267
619	0.1144900912
620	0.1144849226
621	0.114483326
622	0.1144776867
623	0.1144714946
624	0.1144689564
625	0.1144652002
626	0.1144611882
627	0.1144566542
628	0.1144531539
629	0.1144518541
630	0.1144476578
631	0.1144463273
632	0.114443349
633	0.1144393574
634	0.1144343526
635	0.1144284984
636	0.1144254382
637	0.1144221016
638	0.1144194713
639	0.1144165851
640	0.1144142618
641	0.1144101167
642	0.1144060023
643	0.1144008645
644	0.1143941914
645	0.1143899235
646	0.1143859115
647	0.1143831686
648	0.114376475
649	0.1143729236
650	0.1143704365
651	0.1143664143
652	0.1143632824
653	0.1143603143
654	0.1143566401
655	0.1143542963
656	0.1143514306
657	0.1143497418
658	0.1143457912
659	0.1143406841
660	0.1143312885
661	0.1143252807
662	0.1143193753
663	0.1143132549
664	0.1143093247
665	0.1143037161
666	0.1143001237
667	0.1142974012
668	0.1142931129
669	0.1142860202
670	0.1142830828
671	0.11428078
672	0.1142749461
673	0.1142723567
674	0.1142692044
675	0.1142655097
676	0.1142609347
677	0.1142582123
678	0.1142569944
679	0.1142504748
680	0.1142474044
681	0.1142430444
682	0.1142396874
683	0.1142373845
684	0.1142303021
685	0.1142250312
686	0.114223803
687	0.1142195453
688	0.1142142335
689	0.1142114803
690	0.1142066291
691	0.1141989735
692	0.114192239
693	0.1141895472
694	0.1141863438
695	0.1141827309
696	0.1141782378
697	0.1141750957
698	0.1141667851
699	0.1141615244
700	0.1141564992
701	0.1141509519
702	0.114148035
703	0.1141418942
704	0.1141389773
705	0.1141361525
706	0.1141322632
707	0.1141290598
708	0.1141266137
709	0.1141219568
710	0.1141198792
711	0.1141170237
712	0.1141107088
713	0.1141073416
714	0.1141026234
715	0.114097987
716	0.1140948859
717	0.1140929003
718	0.1140878034
719	0.1140832285
720	0.1140796054
721	0.1140734543
722	0.1140693194
723	0.1140683267
724	0.1140651129
725	0.1140627999
726	0.1140577644
727	0.1140524116
728	0.1140478776
729	0.1140429342
730	0.1140379192
731	0.1140366808
732	0.114031809
733	0.1140255658
734	0.1140223316
735	0.1140161293
736	0.1140131613
737	0.1140060481
738	0.1140039602
739	0.1139993136
740	0.1139945033
741	0.113990522
742	0.113985773
743	0.1139823853
744	0.113978056
745	0.1139741566
746	0.1139716286
747	0.1139689675
748	0.1139652932
749	0.1139621409
750	0.113956737
751	0.1139542602
752	0.1139514456
753	0.1139474438
754	0.1139441687
755	0.1139391946
756	0.1139345787
757	0.1139309147
758	0.1139282536
759	0.1139265035
760	0.1139174662
761	0.1139142218
762	0.1139104144
763	0.1139080707
764	0.1139057064
765	0.1139044885
766	0.1139025439
767	0.1138992892
768	0.1138975596
769	0.1138943458
770	0.113892391
771	0.1138895969
772	0.1138854211
773	0.1138838143
774	0.1138813477
775	0.1138784001
776	0.1138738456
777	0.1138706524
778	0.1138693014
779	0.1138662207
780	0.1138636722
781	0.113861482
782	0.1138598342
783	0.1138573881
784	0.1138523219
785	0.1138465904
786	0.1138461913
787	0.1138408487
788	0.1138367446
789	0.11383393
790	0.1138313099
791	0.1138297849
792	0.1138249336
793	0.1138210137
794	0.1138186495
795	0.1138160806
796	0.1138116592
797	0.1138090391
798	0.1138049247
799	0.1138002883
800	0.1137987019
801	0.1137969313
802	0.1137951198
803	0.1137927248
804	0.1137907598
805	0.1137898079
806	0.1137874846
807	0.1137849464
808	0.1137817429
809	0.1137780175
810	0.1137763901
811	0.1137745888
812	0.1137724395
813	0.1137698706
814	0.1137681819
815	0.1137643643
816	0.1137604751
817	0.1137565756
818	0.113753495
819	0.1137512843
820	0.113746955
821	0.1137451536
822	0.1137435672
823	0.1137413258
824	0.1137385931
825	0.1137370886
826	0.113730958
827	0.1137296377
828	0.1137252572
829	0.1137215727
830	0.1137156877
831	0.1137119725
832	0.1137087486
833	0.1137062308
834	0.1137020653
835	0.113698739
836	0.113695996
837	0.1136933452
838	0.1136919635
839	0.1136873886
840	0.1136845638
841	0.1136817185
842	0.113673541
843	0.1136718113
844	0.1136704603
845	0.113668004
846	0.1136650461
847	0.1136628252
848	0.1136601539
849	0.1136584856
850	0.1136551696
851	0.1136521401
852	0.1136502159
853	0.1136461937
854	0.1136421509
855	0.1136403189
856	0.1136377909
857	0.1136349559
858	0.1136331034
859	0.1136310564
860	0.1136271877
861	0.1136231961
862	0.1136189487
863	0.1136135857
864	0.1136094406
865	0.113607363
866	0.1136031769
867	0.1135992673
868	0.1135970668
869	0.1135940885
870	0.1135917038
871	0.1135877224
872	0.1135856755
873	0.1135846315
874	0.113581817
875	0.1135796472
876	0.1135768326
877	0.113575277
878	0.1135743149
879	0.1135708658
880	0.1135699958
881	0.1135669561
882	0.1135638345
883	0.1135613577
884	0.1135582054
885	0.1135549098
886	0.1135520645
887	0.1135499357
888	0.1135481651
889	0.1135419321
890	0.1135376028
891	0.1135332018
892	0.1135303566
893	0.1135276034
894	0.1135239598
895	0.11352266
896	0.1135203572
897	0.1135153217
898	0.1135131007
899	0.1135104499
900	0.1135070008
901	0.1135056703
902	0.1135036336
903	0.11349999
904	0.1134977281
905	0.1134956709
906	0.113490226
907	0.1134868179
908	0.1134805951
909	0.1134775349
910	0.1134720389
911	0.1134694392
912	0.1134680985
913	0.1134660106
914	0.1134623465
915	0.1134596855
916	0.1134585187
917	0.1134541894
918	0.1134516819
919	0.1134475471
920	0.1134455103
921	0.1134429619
922	0.1134417337
923	0.1134351732
924	0.1134319288
925	0.1134269445
926	0.1134244063
927	0.1134206501
928	0.1134191149
929	0.1134151745
930	0.1134133732
931	0.1134097603
932	0.1134073961
933	0.1134053082
934	0.1134015623
935	0.1133990036
936	0.1133976423
937	0.1133958615
938	0.1133949711
939	0.1133900481
940	0.1133893522
941	0.1133869879
942	0.1133839687
943	0.1133789229
944	0.1133747165
945	0.1133733552
946	0.1133712162
947	0.1133700596
948	0.113367112
949	0.1133657201
950	0.1133633047
951	0.1133610428
952	0.1133598556
953	0.1133572457
954	0.1133559971
955	0.113353162
956	0.1133494878
957	0.1133477888
958	0.1133455269
959	0.1133440838
960	0.1133423541
961	0.113340952
962	0.1133401127
963	0.113338772
964	0.1133354866
965	0.1133324878
966	0.1133291103
967	0.113328179
968	0.1133265107
969	0.1133246991
970	0.1133227648
971	0.1133181796
972	0.1133168695
973	0.1133143927
974	0.1133108515
975	0.113308866
976	0.113306819
977	0.1133064608
978	0.1133040863
979	0.1133019268
980	0.1132992862
981	0.1132975156
982	0.1132961646
983	0.1132906685
984	0.1132888263
985	0.1132860629
986	0.1132841388
987	0.1132825217
988	0.1132805361
989	0.1132786427
990	0.1132770768
991	0.1132718877
992	0.1132699124
993	0.1132676096
994	0.1132642526
995	0.113260824
996	0.1132580503
997	0.1132565663
998	0.1132535573
999	0.113251889
