Feature,Importance,MissingPercentage,Cumulative,Num_Categories
pctinstlsallpaidearl3d_427L,0.267350916275792,30.05,0.874912498763513,-
typesuite_864L,0.2662391019407302,0.0,0.8775748897829202,2.0
totalsettled_863A,0.26363721025255593,0.0,0.8802112618854457,-
credamount_770A,0.26295874000565306,0.0,0.8828408492855023,-
dpdmaxdateyear_896T,0.2622600502035897,35.27,0.8854634497875382,-
lastst_736L,0.2585886072283685,0.0,0.888049335859822,12.0
financialinstitution_382M,0.25784553504181773,0.0,0.8906277912102403,275.0
maxdbddpdtollast6m_4187119P,0.25639840785636203,57.4,0.8931917752888039,-
numinstlswithoutdpd_562L,0.2543710174303328,29.9,0.8957354854631072,-
rejectreason_755M,0.24491659910808714,0.0,0.898184651454188,19.0
avgdbdtollast24m_4525197P,0.24190879018540326,63.72,0.9006037393560421,-
overdueamountmax2date_1002D_days_from_decision,0.2384014900266325,75.51,0.9029877542563084,-
collater_typofvalofguarant_298M,0.2277092866286622,0.0,0.9052648471225951,6.0
avgmaxdpdlast9m_3716943P,0.22143945572661528,49.59,0.9074792416798612,-
lastupdate_388D_days_from_decision,0.21998256106399924,33.58,0.9096790672905012,-
dateofrealrepmt_138D_days_from_decision,0.21785014462072275,34.45,0.9118575687367084,-
totalamount_6A,0.20991292161777214,48.46,0.9139566979528861,-
homephncnt_628L,0.2095061594198778,0.0,0.916051759547085,-
avgdbddpdlast3m_4187120P,0.20217423190134765,62.11,0.9180735018660985,-
numberofqueries_373L,0.19873287545196833,9.23,0.9200608306206182,-
inittransactioncode_186L,0.19793052497367591,0.0,0.9220401358703548,4.0
approvaldate_319D_days_from_decision,0.1784505517285675,51.05,0.9238246413876405,-
sellerplacecnt_915L,0.17784255276926605,0.0,0.9256030669153332,-
maxdebt4_972A,0.16518188869748346,20.05,0.9272548858023081,-
familystate_726L,0.1603771449448211,0.0,0.9288586572517563,6.0
maxdpdtolerance_374P,0.15303600211217147,20.05,0.930389017272878,-
responsedate_4917613D_days_from_decision,0.15075552058920946,85.27,0.9318965724787701,-
tenor_203L,0.1493980232822897,28.91,0.933390552711593,-
purposeofcred_874M,0.13806537516521097,0.0,0.9347712064632452,22.0
numinstpaidearly3dest_4493216L,0.13661966321972796,55.06,0.9361374030954425,-
maxdpdinstldate_3546855D_days_from_decision,0.1343864103501579,54.11,0.9374812671989441,-
empl_employedtotal_800L,0.12465194787187042,0.0,0.9387277866776628,4.0
datefirstoffer_1144D_days_from_decision,0.12383420816637458,54.61,0.9399661287593265,-
overdueamountmax_35A,0.1235716303199483,35.09,0.9412018450625259,-
cardtype_51L,0.11497687939676415,0.0,0.9423516138564936,3.0
inittransactioncode_279L,0.11296842974385558,0.0,0.9434812981539321,4.0
numinsttopaygrest_4493213L,0.11070087137087602,55.06,0.944588306867641,-
isdebitcard_729L,0.11050799525489856,0.0,0.9456933868201899,2.0
employedfrom_700D_days_from_decision,0.10864012809023846,77.12,0.9467797881010923,-
credlmt_935A,0.10772093528627642,48.1,0.9478569974539551,-
mastercontrelectronic_519L,0.10503033708928101,20.05,0.9489073008248479,-
debtoverdue_47A,0.10216373656880662,9.23,0.949928938190536,-
outstandingamount_362A,0.10159112014899475,69.1,0.950944849392026,-
datelastinstal40dpd_247D_days_from_decision,0.10041596989685653,91.23,0.9519490090909946,-
amtinstpaidbefduel24m_4187115A,0.10008253379214578,36.76,0.952949834428916,-
collaterals_typeofguarante_359M,0.09711682270669603,0.0,0.953921002655983,16.0
instlamount_768A,0.09696069248032567,48.35,0.9548906095807862,-
firstdatedue_489D_days_from_decision,0.09498569284239028,31.58,0.9558404665092101,-
dpdmaxdatemonth_442T,0.09409520365688341,35.27,0.9567814185457788,-
numinstlswithdpd5_4187116L,0.09266310552326572,36.76,0.9577080496010115,-
numinstpaidearly_338L,0.08999447046812124,29.65,0.9586079943056929,-
pmtnum_8L,0.08886050314113896,28.91,0.9594965993371042,-
clientscnt12m_3712952L,0.08654690570000415,0.0,0.9603620683941042,-
totaloutstanddebtvalue_39A,0.08227214549162906,17.2,0.9611847898490206,-
opencred_647L,0.08172759851837882,0.0,0.9620020658342043,3.0
lastapplicationdate_877D_days_from_decision,0.08138894044453661,19.99,0.9628159552386497,-
collaterals_typeofguarante_669M,0.08037800578258229,0.0,0.9636197352964755,16.0
registaddr_zipcode_184M,0.07681259569022816,0.0,0.9643878612533778,3531.0
contaddr_district_15M,0.0737491884028267,0.0,0.9651253531374061,975.0
numberofoverdueinstlmaxdat_641D_days_from_decision,0.07246238598163061,71.55,0.9658499769972225,-
debtoutstand_525A,0.0706482725550543,9.23,0.9665564597227729,-
empladdr_district_926M,0.0694886891839339,0.0,0.9672513466146122,223.0
equalitydataagreement_891L,0.06432662843655175,0.0,0.9678946128989777,3.0
maritalst_385M,0.06081451606667907,0.0,0.9685027580596446,7.0
actualdpdtolerance_344P,0.05993498950838645,27.39,0.9691021079547285,-
pctinstlsallpaidlate6d_3546844L,0.058963139322109566,30.14,0.9696917393479495,-
lastactivateddate_801D_days_from_decision,0.05611475817573348,29.71,0.9702528869297069,-
payvacationpostpone_4187118D_days_from_decision,0.055948658071385354,99.39,0.9708123735104207,-
periodicityofpmts_1102L,0.05573983802980564,49.62,0.9713697718907188,-
credacc_credlmt_575A,0.05528695916171384,21.74,0.971922641482336,-
pmts_month_158T,0.05176540135276364,17.2,0.9724402954958637,-
dtlastpmtallstes_4499206D_days_from_decision,0.05119081711452936,64.0,0.972952203667009,-
periodicityofpmts_837L,0.05105056149746151,69.62,0.9734627092819836,-
datelastunpaid_3546854D_days_from_decision,0.0501604707368129,58.14,0.9739643139893518,-
mainoccupationinc_437A,0.05011683774249322,22.73,0.9744654823667767,-
subjectrole_93M,0.050017767477914934,0.0,0.9749656600415558,7.0
numberofcontrsvalue_258L,0.04999040697209611,17.2,0.9754655641112768,-
contractst_964M,0.048039147194087105,0.0,0.9759459555832177,199.0
sumoutstandtotal_3546847A,0.04780368574271009,29.17,0.9764239924406447,-
cacccardblochreas_147M,0.04728528299808967,0.0,0.9768968452706257,10.0
creationdate_885D_days_from_decision,0.04668333987855546,19.99,0.9773636786694112,-
mastercontrexist_109L,0.04646810861284386,20.05,0.9778283597555396,-
lastapprcommoditycat_1041M,0.045769263023021894,0.0,0.9782860523857698,45.0
daysoverduetolerancedd_3976961L,0.043846608143986554,29.65,0.9787245184672096,-
clientscnt6m_3712949L,0.04374909143453925,0.0,0.979162009381555,-
overdueamountmax2_398A,0.043025717753533525,33.58,0.9795922665590904,-
maxannuity_159A,0.04186835415649935,20.05,0.9800109501006554,-
contractst_545M,0.04075100129302291,0.0,0.9804184601135856,48.0
lastrejectcommoditycat_161M,0.04074937753400767,0.0,0.9808259538889257,45.0
lastcancelreason_561M,0.0392923488885202,0.0,0.9812188773778109,74.0
downpmt_116A,0.03865081766024448,0.0,0.9816053855544133,-
isdebitcard_527L,0.038026619015755436,0.0,0.9819856517445709,3.0
isbidproduct_390L,0.036026999592063756,0.0,0.9823459217404915,3.0
classificationofcontr_400M,0.03581421109875928,0.0,0.982704063851479,302.0
numinstpaidlate1d_3546852L,0.03493036535026395,29.65,0.9830533675049817,-
sellerplacescnt_216L,0.034341453349167286,0.0,0.9833967820384734,-
gender_992L,0.031294578293568714,0.0,0.9837097278214091,3.0
forweek_528L,0.030123060912485573,97.61,0.984010958430534,-
for3years_128L,0.029716179855904377,97.61,0.9843081202290931,-
pmtaverage_4955615A,0.029460666517091165,95.29,0.984602726894264,-
empladdr_zipcode_114M,0.02910529309836435,0.0,0.9848937798252477,3339.0
assignmentdate_4527235D_days_from_decision,0.029034244175132354,92.47,0.985184122266999,-
empls_employer_name_740M,0.028587588245767168,0.0,0.9854699981494568,3.0
isbidproductrequest_292L,0.028529333251232483,0.0,0.985755291481969,3.0
annuity_853A,0.02781129878580669,22.15,0.9860334044698271,-
language1_981M,0.02714543428554134,0.0,0.9863048588126826,3.0
conts_role_79M,0.026973254838429786,0.0,0.9865745913610668,5.0
numnotactivated_1143L,0.0264375969725499,0.0,0.9868389673307923,-
collater_valueofguarantee_1124L,0.025950543850396565,17.25,0.9870984727692964,-
avginstallast24m_3658937A,0.025302778988666196,40.93,0.987351500559183,-
mindbddpdlast24m_3658935P,0.025123536092613186,40.17,0.987602735920109,-
firstquarter_103L,0.0244907521124666,9.23,0.9878476434412338,-
currdebtcredtyperange_828A,0.02446260162344495,0.0,0.9880922694574681,-
maininc_215A,0.024040433191529008,33.49,0.9883326737893834,-
numactiverelcontr_750L,0.023755494175935667,0.0,0.9885702287311428,-
twobodfilling_608L,0.023039780109729742,0.0,0.98880062653224,3.0
numberofoverdueinstls_725L,0.022031633907368918,17.45,0.9890209428713137,-
bankacctype_710L,0.02201139925727679,0.0,0.9892410568638865,2.0
equalityempfrom_62L,0.02194139560666108,0.0,0.9894604708199531,3.0
avgoutstandbalancel6m_4187114A,0.02138650695291118,55.1,0.9896743358894823,-
outstandingdebt_522A,0.02121795936606692,50.94,0.9898865154831429,-
maxinstallast24m_3658928A,0.020758970821771385,40.93,0.9900941051913607,-
forquarter_462L,0.020506409928386246,97.61,0.9902991692906445,-
credlmt_230A,0.020323904486379784,84.98,0.9905024083355083,-
subjectrole_182M,0.02000782580765775,0.0,0.9907024865935848,9.0
numinstpaidearly5d_1087L,0.020000409409941067,29.65,0.9909024906876843,-
paytype1st_925L,0.01915137560444125,0.0,0.9910940044437286,2.0
lastapprdate_640D_days_from_decision,0.018992983939696166,28.95,0.9912839342831257,-
purposeofcred_426M,0.018899212063160163,0.0,0.9914729264037573,20.0
mindbdtollast24m_4525191P,0.01885998970033964,63.72,0.9916615263007607,-
formonth_118L,0.0183617007066941,97.61,0.9918451433078276,-
credtype_587L,0.01807789183491131,0.0,0.9920259222261767,4.0
prolongationcount_599L,0.017870485379393685,99.49,0.9922046270799706,-
numactivecreds_622L,0.017695884279291564,0.0,0.9923815859227635,-
dateofcredend_289D_days_from_decision,0.017504312115706452,17.2,0.9925566290439205,-
collater_typofvalofguarant_407M,0.01732483547451329,0.0,0.9927298773986657,8.0
nominalrate_281L,0.01698814011132022,80.89,0.9928997587997789,-
pmts_year_1139T,0.016882301696616333,17.2,0.993068581816745,-
prolongationcount_1120L,0.016428649566242563,99.35,0.9932328683124073,-
birthdate_574D_days_from_decision,0.016394186654606444,60.18,0.9933968101789534,-
housetype_905L,0.01596520677675833,0.0,0.993556462246721,7.0
empls_economicalst_849M,0.015111335661630377,0.0,0.9937075756033373,10.0
numcontrs3months_479L,0.01481629221291333,0.0,0.9938557385254664,-
clientscnt_887L,0.014361712093826518,0.0,0.9939993556464047,-
forweek_601L,0.014198008200872515,97.61,0.9941413357284135,-
description_351M,0.014163141654141191,0.0,0.9942829671449549,12.0
classificationofcontr_13M,0.013865051737033045,0.0,0.9944216176623252,12.0
assignmentdate_4955616D_days_from_decision,0.013675468395520142,95.31,0.9945583723462803,-
clientscnt3m_3712950L,0.013507365753151935,0.0,0.9946934460038119,-
numberofoverdueinstlmaxdat_148D_days_from_decision,0.013247995190920517,74.53,0.9948259259557212,-
type_25L,0.01253933420839734,0.0,0.9949513192978051,6.0
safeguarantyflag_411L,0.012500238053948063,0.0,0.9950763216783446,3.0
district_544M,0.01235559503152628,0.0,0.9951998776286598,970.0
residualamount_488A,0.012222827077268406,85.09,0.9953221058994325,-
applicationcnt_361L,0.012150975243848042,0.0,0.9954436156518709,-
instlamount_852A,0.011763878732738783,92.79,0.9955612544391983,-
clientscnt_533L,0.01171496649712937,0.0,0.9956784041041695,-
contractssum_5085716L,0.011657649675893238,89.69,0.9957949806009284,-
inittransactionamount_650A,0.010610137787434736,87.4,0.9959010819788028,-
byoccupationinc_3656910L,0.010270617042699805,95.21,0.9960037881492297,-
lastrejectcredamount_222A,0.009796322573561222,50.37,0.9961017513749654,-
monthlyinstlamount_332A,0.009683195835568995,17.47,0.996198583333321,-
sumoutstandtotalest_4493215A,0.009465895116479642,55.06,0.9962932422844858,-
thirdquarter_1082L,0.009162565754154129,9.23,0.9963848679420273,-
postype_4733339M,0.008844736015314264,0.0,0.9964733153021805,10.0
lastrejectdate_50D_days_from_decision,0.008816182531523525,50.37,0.9965614771274958,-
secondquarter_766L,0.008763895239568076,9.23,0.9966491160798914,-
previouscontdistrict_112M,0.008509087714665764,0.0,0.9967342069570381,223.0
actualdpd_943P,0.008205728158204964,20.13,0.9968162642386201,-
clientscnt_360L,0.008007495556451878,0.0,0.9968963391941846,-
firstnonzeroinstldate_307D_days_from_decision,0.007976258784740715,32.62,0.9969761017820321,-
maxpmtlast3m_4525190A,0.007779951932192853,73.97,0.997053901301354,-
mainoccupationinc_384A,0.0077538526425188605,0.0,0.9971314398277792,-
totinstallast1m_4525188A,0.007656831505816683,76.91,0.9972080081428374,-
formonth_206L,0.007555434052703437,97.61,0.9972835624833644,-
lastrepayingdate_696D_days_from_decision,0.007419523062196234,99.84,0.9973577577139864,-
contaddr_zipcode_807M,0.007067128769334447,0.0,0.9974284290016797,3530.0
clientscnt_946L,0.007030558586260453,0.0,0.9974987345875423,-
clientscnt_257L,0.006933722112816187,0.0,0.9975680718086706,-
pmtaverage_4527227A,0.006712009171127275,92.47,0.9976351919003819,-
pmtcount_693L,0.00659466891942469,90.41,0.997701138589576,-
posfpd30lastmonth_3976960P,0.006591121495218827,8.64,0.9977670498045282,-
education_88M,0.006531240466825641,0.0,0.9978323622091965,6.0
currdebt_94A,0.006435419581557531,50.7,0.9978967164050121,-
annualeffectiverate_63L,0.006420072167286978,94.63,0.997960917126685,-
overdueamount_659A,0.0063484682733472375,17.45,0.9980244018094184,-
clientscnt_100L,0.0062555435969693434,0.0,0.9980869572453881,-
numinstpaidlastcontr_4325080L,0.006185632155128041,43.83,0.9981488135669393,-
role_993L,0.006073600172978449,0.0,0.9982095495686691,2.0
refreshdate_3813885D_days_from_decision,0.005997498278171887,33.81,0.9982695245514509,-
forquarter_634L,0.0059665071024471395,97.61,0.9983291896224753,-
dateofcredend_353D_days_from_decision,0.005613163124721466,33.58,0.9983853212537226,-
credacc_cards_status_52L,0.005410477334034684,0.0,0.9984394260270629,7.0
totaloutstanddebtvalue_668A,0.0051624319779413,19.46,0.9984910503468423,-
monthlyinstlamount_674A,0.005146106644195914,44.7,0.9985425114132842,-
numberofoutstandinstls_59L,0.005103150003036055,69.12,0.9985935429133146,-
numinstls_657L,0.0047805108167702426,0.0,0.9986413480214823,-
fourthquarter_440L,0.004763818871838751,9.23,0.9986889862102006,-
lastupdate_1112D_days_from_decision,0.0047464555684801095,17.2,0.9987364507658855,-
dpdmaxdatemonth_89T,0.004708735612905429,17.45,0.9987835381220145,-
maxoutstandbalancel12m_4187113A,0.00447448313139253,50.24,0.9988282829533284,-
for3years_504L,0.0044402210445814464,97.61,0.9988726851637741,-
relatedpersons_role_762T,0.0043608857888474024,0.0,0.9989162940216626,2.0
downpmt_134A,0.004330880412218124,21.85,0.9989596028257847,-
credacc_actualbalance_314A,0.00412969299436186,95.71,0.9990008997557284,-
clientscnt_1022L,0.004043878615705117,0.0,0.9990413385418855,-
foryear_850L,0.00387363668516106,97.61,0.999080074908737,-
contaddr_smempladdr_334L,0.0038711780964602997,0.0,0.9991187866897016,3.0
dateofbirth_342D_days_from_decision,0.0036956419958954078,97.61,0.9991557431096605,-
subjectroles_name_541M,0.003656168267623799,0.0,0.9991923047923368,10.0
annuitynextmonth_57A,0.0036007875336706175,0.0,0.9992283126676734,-
conts_type_509L,0.00358893286377426,0.0,0.9992642019963113,9.0
formonth_535L,0.0035247240425258773,97.61,0.9992994492367364,-
forweek_1077L,0.0033270799299114206,97.61,0.9993327200360356,-
addres_role_871L,0.0031088861390694104,0.0,0.9993638088974264,3.0
dtlastpmt_581D_days_from_decision,0.003019655938993187,81.63,0.9993940054568163,-
avgpmtlast12m_4525200A,0.002897840750760139,67.27,0.9994229838643239,-
credamount_590A,0.002832658600727864,21.85,0.9994513104503312,-
posfstqpd30lastmonth_3976962P,0.0027870872944067136,11.86,0.9994791813232753,-
pmts_year_507T,0.0026420407723841497,33.6,0.9995056017309991,-
numinstregularpaidest_4493210L,0.0025758172093359186,55.06,0.9995313599030925,-
maritalst_893M,0.002422183360736572,0.0,0.9995555817366999,7.0
responsedate_1012D_days_from_decision,0.0022550288826782682,52.84,0.9995781320255266,-
totaldebtoverduevalue_718A,0.0022057854224769077,19.46,0.9996001898797513,-
overdueamountmaxdateyear_994T,0.0021213547443924164,35.09,0.9996214034271952,-
pmts_dpd_303P,0.0020800056032897665,97.19,0.9996422034832281,-
nominalrate_498L,0.0020415594493586936,86.06,0.9996626190777217,-
contaddr_matchlist_1032L,0.001966765541150998,0.0,0.9996822867331332,2.0
lastapprcommoditytypec_5251766M,0.0018675131750853253,0.0,0.999700961864884,214.0
numberofinstls_229L,0.0017897316706716629,48.72,0.9997188591815908,-
numactivecredschannel_414L,0.0016466107264562916,0.0,0.9997353252888552,-
subjectroles_name_838M,0.0016387461094938417,0.0,0.9997517127499502,10.0
credacc_status_367L,0.001525882430067265,0.0,0.999766971574251,7.0
childnum_21L,0.0014212257556703027,86.53,0.9997811838318076,-
numinstpaidearly5dest_4493211L,0.0013990511182533421,55.06,0.9997951743429901,-
numinstpaidearlyest_4493214L,0.0013893264106699253,55.06,0.9998090676070969,-
fortoday_1092L,0.0013706993883862593,97.61,0.9998227746009808,-
annualeffectiverate_199L,0.001350969350474361,97.35,0.9998362842944855,-
numinstmatpaidtearly2d_4499204L,0.0013158710030972682,55.49,0.9998494430045164,-
maxlnamtstart6m_4525199A,0.0011888156137951243,67.65,0.9998613311606545,-
maxannuity_4075009A,0.0011693683088272386,95.03,0.9998730248437426,-
numberofoutstandinstls_520L,0.0010766734837084912,48.52,0.9998837915785798,-
numinstregularpaid_973L,0.0010677627796133132,29.84,0.9998944692063759,-
applicationscnt_464L,0.0010192716059045182,0.0,0.9999046619224349,-
addres_district_368M,0.0009558023681285827,0.0,0.9999142199461162,407.0
maxdpdinstlnum_3546846P,0.0008611215780651945,54.33,0.9999228311618968,-
pmts_overdue_1140A,0.0008191835373820356,94.17,0.9999310229972707,-
avglnamtstart24m_4525187A,0.000808573123528481,89.36,0.9999391087285061,-
role_1084L,0.0007584334556666117,0.0,0.9999466930630628,2.0
applicationscnt_629L,0.000718954145533991,0.0,0.9999538826045182,-
clientscnt_1130L,0.0006085915709901113,0.0,0.9999599685202282,-
clientscnt_136L,0.0006035732222882398,99.97,0.9999660042524511,-
applications30d_658L,0.0005520584684383369,0.0,0.9999715248371355,-
credacc_transactions_402L,0.0005412126109422365,95.71,0.9999769369632449,-
clientscnt_493L,0.0005026967662147832,0.0,0.9999819639309071,-
lastrejectcommodtypec_5251769M,0.0004358194899300215,0.0,0.9999863221258064,187.0
pmts_overdue_1152A,0.00039912473423631345,97.17,0.9999903133731487,-
cancelreason_3545846M,0.00034682171640478557,0.0,0.9999937815903128,75.0
pmtcount_4527229L,0.00026544634223056655,92.47,0.9999964360537351,-
clientscnt_1071L,0.00013526855791001486,0.0,0.9999977887393142,-
pmts_dpd_1073P,0.00012132993741897443,94.18,0.9999990020386883,-
profession_152M,7.019036162217536e-05,0.0,0.9999997039423046,2000.0
addres_zip_823M,2.213802363926713e-05,0.0,0.999999925322541,1460.0
empls_employedfrom_796D_days_from_decision,7.467745917674623e-06,100.0,1.0000000000000002,-
overdueamountmaxdatemonth_284T,0.0,35.09,1.0000000000000002,-
clientscnt_157L,0.0,0.0,1.0000000000000002,-
lastapprcredamount_781A,0.0,28.95,1.0000000000000002,-
interestrate_508L,0.0,98.41,1.0000000000000002,-
clientscnt_304L,0.0,0.0,1.0000000000000002,-
overdueamount_31A,0.0,33.67,1.0000000000000002,-
numberofinstls_320L,0.0,69.12,1.0000000000000002,-
lastotherlnsexpense_631A,0.0,99.8,1.0000000000000002,-
overdueamountmaxdatemonth_365T,0.0,17.2,1.0000000000000002,-
dtlastpmtallstes_3545839D_days_from_decision,0.0,57.73,1.0000000000000002,-
lastotherinc_902A,0.0,99.8,1.0000000000000002,-
lastdependentsnum_448L,0.0,98.07,1.0000000000000002,-
paytype_783L,0.0,0.0,1.0000000000000002,2.0
revolvingaccount_394A,0.0,92.55,1.0000000000000002,-
assignmentdate_238D_days_from_decision,0.0,91.03,1.0000000000000002,-
numberofoverdueinstls_834L,0.0,33.73,1.0000000000000002,-
applicationscnt_1086L,0.0,0.0,1.0000000000000002,-
outstandingamount_354A,0.0,48.5,1.0000000000000002,-
contractsum_5085717L,0.0,89.69,1.0000000000000002,-
numinstpaidearly5dobd_4499205L,0.0,55.49,1.0000000000000002,-
foryear_818L,0.0,97.61,1.0000000000000002,-
riskassesment_940T,0.0,96.49,1.0000000000000002,-
numpmtchanneldd_318L,0.0,0.0,1.0000000000000002,-
for3years_584L,0.0,97.61,1.0000000000000002,-
credacc_maxhisbal_375A,0.0,95.71,1.0000000000000002,-
credacc_minhisbal_90A,0.0,95.71,1.0000000000000002,-
collater_valueofguarantee_876L,0.0,34.07,1.0000000000000002,-
isreference_387L,0.0,0.0,1.0000000000000002,2.0
forquarter_1017L,0.0,97.61,1.0000000000000002,-
foryear_618L,0.0,97.61,1.0000000000000002,-
maritalst_703L,0.0,0.0,1.0000000000000002,2.0
numinstpaid_4499208L,0.0,55.49,1.0000000000000002,-
posfpd10lastmonth_333P,0.0,5.14,1.0000000000000002,-
interestrategrace_34L,0.0,98.63,1.0000000000000002,-
